"Sector","Topic","Metric","Category","Unit of Measure","Code","Direct Measurement","Risk Assessment","Risk Insights","Trend Analysis","Benchmarking","Regulatory Support"
"Software & IT Services","Environmental Footprint of Hardware Infrastructure","Total energy consumed","Quantitative","Gigajoules","TC0102-01","","","planetarycomputer.microsoft.com-1. hrea, HREA: High Resolution Electricity Access (provides settlement-level indicators of electricity access, reliability, and usage that can be spatially joined to data center locations to understand local grid electrification context, but does not measure facility energy in GJ)","planetarycomputer.microsoft.com-1. hrea, HREA: High Resolution Electricity Access (annual time series of electricity access and reliability indicators enables tracking changes in local grid electrification conditions over time around facilities, indirectly informing trends in potential grid-supplied energy availability)","",""
"Software & IT Services","Environmental Footprint of Hardware Infrastructure","Percentage grid electricity","Quantitative","Percentage (%)","TC0102-01","","","planetarycomputer.microsoft.com-1. hrea, HREA: High Resolution Electricity Access (settlement-level probability of electrification and reliability can be overlaid with facility locations to understand dependence on grid vs off-grid supply in surrounding communities, providing contextual insight but not the facility’s own grid share)","planetarycomputer.microsoft.com-1. hrea, HREA: High Resolution Electricity Access (multi-year indicators of electricity access and reliability allow analysis of how surrounding grid infrastructure is evolving, which can influence future percentage of grid electricity used by facilities)","",""
"Software & IT Services","Environmental Footprint of Hardware Infrastructure","Percentage renewable energy","Quantitative","Percentage (%)","TC0102-01","","planetarycomputer.microsoft.com-1. terraclimate, TerraClimate (provides long-term monthly climate and water balance variables such as precipitation, temperature, and climatic water deficit that can be used to assess regional suitability and risk for renewable generation resources like hydro and solar near facilities); planetarycomputer.microsoft.com-2. nasa-nex-gddp-cmip6, Earth Exchange Global Daily Downscaled Projections (NEX-GDDP-CMIP6) (downscaled CMIP6 projections of temperature and precipitation support assessment of long-term climate risks to renewable energy resource availability at facility locations)","planetarycomputer.microsoft.com-1. hrea, HREA: High Resolution Electricity Access (provides indicators of electricity access and reliability that can be combined with external grid mix data to understand where facilities are embedded in grids more or less likely to have renewable penetration, but does not provide renewable share itself)","planetarycomputer.microsoft.com-1. terraclimate, TerraClimate (multi-decadal monthly climate and water balance time series allow tracking evolving hydro-climatic conditions that influence renewable resource potential, supporting analysis of long-term trends affecting achievable renewable energy share); planetarycomputer.microsoft.com-2. nasa-nex-gddp-cmip6, Earth Exchange Global Daily Downscaled Projections (NEX-GDDP-CMIP6) (future climate projections enable analysis of trends in temperature and precipitation that may change renewable resource profiles over coming decades at facility sites)","",""
"Software & IT Services","Environmental Footprint of Hardware Infrastructure","Total water withdrawn","Quantitative","Cubic meters (m³)","TC0102-02","","planetarycomputer.microsoft.com-1. deltares-water-availability, Deltares Global Water Availability (simulated historical daily reservoir volume, inflow, and outflow for thousands of reservoirs globally can be intersected with facility catchments to assess availability constraints and withdrawal risk, though it does not measure actual facility withdrawals); planetarycomputer.microsoft.com-2. terraclimate, TerraClimate (provides monthly climatic water balance variables including precipitation, runoff, and climatic water deficit that can be used to evaluate hydrological stress and potential constraints on water withdrawals in regions where facilities operate); planetarycomputer.microsoft.com-3. jrc-gsw, JRC Global Surface Water (historical maps of surface water occurrence, seasonality, and change help identify shrinking or highly variable surface water bodies near facilities, indicating elevated risk around water withdrawals)","planetarycomputer.microsoft.com-1. gridmet, gridMET (daily surface meteorological data including precipitation and temperature for the contiguous U.S. provide detailed hydroclimatic context around U.S. facilities that influences local water availability but not actual withdrawals); planetarycomputer.microsoft.com-2. daymet-daily-na, Daymet Daily North America (high-resolution daily precipitation and snow water equivalent inform local hydrologic context and potential recharge near facilities, supporting understanding of water resource conditions); planetarycomputer.microsoft.com-3. daymet-daily-hi, Daymet Daily Hawaii (daily precipitation and related variables contextualize water resource conditions for Hawaiian operations); planetarycomputer.microsoft.com-4. daymet-daily-pr, Daymet Daily Puerto Rico (daily precipitation and snow water equivalent provide local hydrologic context for Puerto Rico sites); planetarycomputer.microsoft.com-5. jrc-gsw, JRC Global Surface Water (detailed spatial patterns of permanent and seasonal surface water bodies provide insight into local water sources and hydrologic setting near facilities)","planetarycomputer.microsoft.com-1. terraclimate, TerraClimate (multi-decadal monthly time series of precipitation, runoff, and climatic water deficit enable tracking trends in hydrologic conditions and drought that affect long-term sustainability of water withdrawals at facility locations); planetarycomputer.microsoft.com-2. deltares-water-availability, Deltares Global Water Availability (1970–2020 daily reservoir volume and inflow/outflow time series allow analysis of temporal trends in upstream water availability and storage that may constrain future withdrawals); planetarycomputer.microsoft.com-3. jrc-gsw, JRC Global Surface Water (1984–2020 records of water occurrence and change support detection of long-term trends in surface water extent near facilities, indicating increasing or decreasing reliance risk on local water bodies)","",""
"Software & IT Services","Environmental Footprint of Hardware Infrastructure","Percentage recycled","Quantitative","Percentage (%)","TC0102-02","","","","","",""
"Software & IT Services","Environmental Footprint of Hardware Infrastructure","Percentage in regions with High or Extremely High Baseline Water Stress","Quantitative","Percentage (%)","TC0102-02","","planetarycomputer.microsoft.com-1. terraclimate, TerraClimate (provides monthly climatic water balance variables such as precipitation, runoff, actual evapotranspiration, and climatic water deficit that can be combined to derive indices of baseline water stress at facility locations and compute the share of capacity in high-stress basins); planetarycomputer.microsoft.com-2. deltares-water-availability, Deltares Global Water Availability (simulated daily reservoir volume and inflow/outflow for thousands of reservoirs globally can be used to characterize chronic low-storage or high-variability systems, supporting classification of facilities located in basins with structurally stressed water availability); planetarycomputer.microsoft.com-3. jrc-gsw, JRC Global Surface Water (long-term occurrence and change in surface water extent can be used to flag basins with highly intermittent or shrinking surface water bodies, informing identification of facilities in inherently water-stressed regions)","planetarycomputer.microsoft.com-1. gridmet, gridMET (daily precipitation and temperature for the contiguous U.S. provide detailed hydroclimatic context that supports interpretation of derived water stress indices but does not itself define stress categories); planetarycomputer.microsoft.com-2. daymet-daily-na, Daymet Daily North America (high-resolution daily precipitation and snow water equivalent give fine-scale context on hydroclimate regimes around U.S. and Canadian facilities, informing understanding of local stress conditions); planetarycomputer.microsoft.com-3. daymet-daily-hi, Daymet Daily Hawaii (daily hydroclimate variables provide context for water stress conditions around Hawaiian facilities); planetarycomputer.microsoft.com-4. daymet-daily-pr, Daymet Daily Puerto Rico (daily precipitation and related variables contextualize hydrologic regimes around Puerto Rico facilities); planetarycomputer.microsoft.com-5. conus404, CONUS404 (long-term high-resolution hydroclimate reanalysis over the U.S. supports detailed understanding of precipitation and temperature patterns that underlie water stress assessments for U.S. operations)","planetarycomputer.microsoft.com-1. terraclimate, TerraClimate (1958–present monthly climate and water balance time series enable tracking of evolving water balance and drought conditions, supporting analysis of how baseline water stress categories at facility locations may be shifting over time); planetarycomputer.microsoft.com-2. deltares-water-availability, Deltares Global Water Availability (1970–2020 daily reservoir storage and inflow/outflow time series allow evaluation of long-term trends in hydrologic regimes and reservoir reliability that influence baseline water stress classifications); planetarycomputer.microsoft.com-3. jrc-gsw, JRC Global Surface Water (1984–2020 records of surface water occurrence and change allow detection of long-term drying or expansion trends in surface water near facilities, indicating changing baseline stress conditions)","",""
"Software & IT Services","Environmental Footprint of Hardware Infrastructure","Description of the integration of environmental considerations to strategic planning for data center needs","Discussion and Analysis","n/a","TC0102-03","","planetarycomputer.microsoft.com-1. terraclimate, TerraClimate (used to assess long-term climate and water balance risks—such as increasing drought frequency or heat stress—at potential and existing data center locations, informing strategic siting and cooling technology choices); planetarycomputer.microsoft.com-2. nasa-nex-gddp-cmip6, Earth Exchange Global Daily Downscaled Projections (NEX-GDDP-CMIP6) (provides downscaled CMIP6 projections of temperature and precipitation that support forward-looking assessment of climate hazards—heatwaves, changing rainfall—relevant to long-lived data center investments); planetarycomputer.microsoft.com-3. deltares-water-availability, Deltares Global Water Availability (simulated reservoir storage and inflow/outflow dynamics inform strategic evaluation of long-term water availability risks for cooling and operations in candidate regions); planetarycomputer.microsoft.com-4. deltares-floods, Deltares Global Flood Maps (global coastal inundation depth maps under extreme water levels enable assessment of coastal flood and sea-level-rise exposure for existing and planned data center sites); planetarycomputer.microsoft.com-5. conus404, CONUS404 (high-resolution hydroclimate reanalysis over the U.S. supports detailed assessment of historical extremes in precipitation and temperature that inform resilience planning for U.S. data centers)","planetarycomputer.microsoft.com-1. ms-buildings, Microsoft Building Footprints (global building footprint data allow characterization of urban density and built environment around current and prospective data center locations, informing cumulative environmental and social context considerations in strategic planning); planetarycomputer.microsoft.com-2. esa-worldcover, ESA WorldCover (10 m global land cover maps provide insight into surrounding land use—such as cropland, forest, or urban areas—around data centers, informing land-use change, biodiversity, and community impact considerations in planning); planetarycomputer.microsoft.com-3. io-lulc-annual-v02, 10m Annual Land Use Land Cover (9-class) V2 (annual global LULC time series enable understanding of how land use around data centers is changing over time, supporting integration of ecosystem and land-use dynamics into strategic decisions); planetarycomputer.microsoft.com-4. mobi, MoBI: Map of Biodiversity Importance (high-resolution maps of biodiversity importance across the U.S. help identify sensitive habitats near existing or planned data centers, informing avoidance and mitigation strategies); planetarycomputer.microsoft.com-5. io-biodiversity, Biodiversity Intactness (global 100 m maps of biodiversity intactness provide context on ecosystem condition around data center sites, supporting integration of biodiversity considerations into long-term infrastructure planning)","planetarycomputer.microsoft.com-1. terraclimate, TerraClimate (multi-decadal monthly climate and water balance records allow tracking of trends in heat, drought, and water availability that inform long-term evolution of environmental constraints on data center siting and design); planetarycomputer.microsoft.com-2. nasa-nex-gddp-cmip6, Earth Exchange Global Daily Downscaled Projections (NEX-GDDP-CMIP6) (future climate trajectories support scenario-based analysis of how climate-related environmental constraints on data centers may evolve over their lifecycle); planetarycomputer.microsoft.com-3. io-lulc-annual-v02, 10m Annual Land Use Land Cover (9-class) V2 (2017–2023 annual LULC maps enable monitoring of land-use change around facilities, such as urban expansion or deforestation, which can alter environmental impacts and constraints over time); planetarycomputer.microsoft.com-4. jrc-gsw, JRC Global Surface Water (1984–2020 surface water change products reveal long-term drying or expansion of water bodies near sites, informing evolving water and flood risk considerations); planetarycomputer.microsoft.com-5. chloris-biomass, Chloris Biomass (2003–2019 annual aboveground biomass stock and change estimates allow tracking of carbon stock dynamics around data centers, informing nature-related aspects of strategic planning)","",""
"Software & IT Services","Data Privacy & Freedom of Expression","Discussion of policies and practices relating to collection, usage, and retention of customers' information and personally identifiable information","Discussion and Analysis","n/a","TC0102-04","","","","","",""
"Software & IT Services","Data Privacy & Freedom of Expression","Percentage of users whose customer information is collected for secondary purpose","Quantitative","Percentage (%)","TC0102-05","","","","","",""
"Software & IT Services","Data Privacy & Freedom of Expression","Percentage who have opted-in","Quantitative","Percentage (%)","TC0102-05","","","","","",""
